cancel	664.0	81.0	1.0	1.0	0.0	1.0
mistreat	664.0	81.0	0.0	1.0	0.0	1.0
nicely	664.0	81.0	10.0	0.0	1.0	0.0
hale	664.0	81.0	1.0	1.0	0.0	1.0
half	664.0	81.0	12.0	3.0	0.0	1.0
unavailable	664.0	81.0	2.0	0.0	1.0	0.0
idol	664.0	81.0	1.0	0.0	0.0	0.0
hall	664.0	81.0	0.0	1.0	0.0	1.0
pretend	664.0	81.0	2.0	2.0	0.0	1.0
tea	664.0	81.0	1.0	0.0	0.0	0.0
not|forget	664.0	81.0	3.0	0.0	1.0	0.0
imperfect	664.0	81.0	1.0	0.0	0.0	0.0
pick	664.0	81.0	14.0	1.0	0.0	0.0
not|contemporary	664.0	81.0	1.0	0.0	0.0	0.0
ten	664.0	81.0	9.0	0.0	1.0	0.0
sake	664.0	81.0	2.0	0.0	1.0	0.0
energy	664.0	81.0	4.0	0.0	1.0	0.0
coincide	664.0	81.0	1.0	0.0	0.0	0.0
require	664.0	81.0	1.0	0.0	0.0	0.0
scratch	664.0	81.0	2.0	0.0	1.0	0.0
click	664.0	81.0	0.0	1.0	0.0	1.0
not|austin	664.0	81.0	1.0	0.0	0.0	0.0
amusing	664.0	81.0	2.0	0.0	1.0	0.0
stromboli	664.0	81.0	1.0	0.0	0.0	0.0
newspaper	664.0	81.0	2.0	0.0	1.0	0.0
flit	664.0	81.0	1.0	0.0	0.0	0.0
hang	664.0	81.0	1.0	0.0	0.0	0.0
role	664.0	81.0	54.0	3.0	1.0	0.0
turf	664.0	81.0	2.0	0.0	1.0	0.0
vengeance	664.0	81.0	1.0	0.0	0.0	0.0
cliff	664.0	81.0	1.0	0.0	0.0	0.0
imaganation	664.0	81.0	2.0	0.0	1.0	0.0
roll	664.0	81.0	7.0	1.0	0.0	0.0
turn	664.0	81.0	40.0	1.0	1.0	0.0
grumpy	664.0	81.0	1.0	0.0	0.0	0.0
hans	664.0	81.0	7.0	0.0	1.0	0.0
gold	664.0	81.0	2.0	0.0	1.0	0.0
result	664.0	81.0	11.0	0.0	1.0	0.0
sizemore	664.0	81.0	7.0	1.0	0.0	0.0
opposition	664.0	81.0	1.0	0.0	0.0	0.0
roku	664.0	81.0	1.0	0.0	0.0	0.0
reprimand	664.0	81.0	1.0	0.0	0.0	0.0
not|iii	664.0	81.0	0.0	1.0	0.0	1.0
not|feeling	664.0	81.0	1.0	0.0	0.0	0.0
selfish	664.0	81.0	1.0	0.0	0.0	0.0
apoplexy	664.0	81.0	1.0	0.0	0.0	0.0
flik	664.0	81.0	1.0	0.0	0.0	0.0
flip	664.0	81.0	2.0	0.0	1.0	0.0
connect	664.0	81.0	2.0	0.0	1.0	0.0
hand	664.0	81.0	35.0	2.0	1.0	0.0
garland	664.0	81.0	1.0	0.0	0.0	0.0
artistic	664.0	81.0	2.0	0.0	1.0	0.0
blood	664.0	81.0	1.0	0.0	0.0	0.0
gripping	664.0	81.0	3.0	0.0	1.0	0.0
straight	664.0	81.0	10.0	1.0	0.0	0.0
not|people	664.0	81.0	7.0	2.0	0.0	1.0
sale	664.0	81.0	2.0	2.0	0.0	1.0
corny	664.0	81.0	3.0	0.0	1.0	0.0
exciting	664.0	81.0	17.0	1.0	0.0	0.0
obvious	664.0	81.0	5.0	1.0	0.0	0.0
tho	664.0	81.0	1.0	0.0	0.0	0.0
information	664.0	81.0	10.0	1.0	0.0	0.0
regain	664.0	81.0	2.0	0.0	1.0	0.0
november	664.0	81.0	1.0	1.0	0.0	1.0
resolve	664.0	81.0	1.0	0.0	0.0	0.0
not|benefit	664.0	81.0	1.0	0.0	0.0	0.0
choreograph	664.0	81.0	1.0	0.0	0.0	0.0
thx	664.0	81.0	0.0	1.0	0.0	1.0
theatrically	664.0	81.0	1.0	0.0	0.0	0.0
not|scared	664.0	81.0	1.0	0.0	0.0	0.0
good	664.0	81.0	183.0	16.0	0.0	0.0
empty	664.0	81.0	4.0	1.0	0.0	1.0
goof	664.0	81.0	1.0	0.0	0.0	0.0
tie	664.0	81.0	4.0	1.0	0.0	1.0
passable	664.0	81.0	1.0	0.0	0.0	0.0
rendition	664.0	81.0	1.0	0.0	0.0	0.0
romp	664.0	81.0	2.0	0.0	1.0	0.0
til	664.0	81.0	2.0	0.0	1.0	0.0
myriad	664.0	81.0	0.0	1.0	0.0	1.0
serious	664.0	81.0	10.0	1.0	0.0	0.0
masterpieces	664.0	81.0	1.0	0.0	0.0	0.0
tim	664.0	81.0	1.0	0.0	0.0	0.0
tip	664.0	81.0	2.0	0.0	1.0	0.0
laugh	664.0	81.0	15.0	1.0	0.0	0.0
rome	664.0	81.0	1.0	0.0	0.0	0.0
fantasy	664.0	81.0	15.0	3.0	0.0	0.0
cinder	664.0	81.0	1.0	0.0	0.0	0.0
informative	664.0	81.0	5.0	0.0	1.0	0.0
not|device	664.0	81.0	1.0	0.0	0.0	0.0
not|sequel	664.0	81.0	8.0	1.0	0.0	0.0
gorgeous	664.0	81.0	7.0	0.0	1.0	0.0
anamorphic	664.0	81.0	1.0	1.0	0.0	1.0
not|luck	664.0	81.0	1.0	0.0	0.0	0.0
thehelp	664.0	81.0	1.0	0.0	0.0	0.0
cia	664.0	81.0	2.0	0.0	1.0	0.0
wacky	664.0	81.0	2.0	0.0	1.0	0.0
not|means	664.0	81.0	1.0	0.0	0.0	0.0
olympic	664.0	81.0	1.0	0.0	0.0	0.0
freddy	664.0	81.0	1.0	0.0	0.0	0.0
harm	664.0	81.0	2.0	0.0	1.0	0.0
displeased	664.0	81.0	1.0	0.0	0.0	0.0
sara	664.0	81.0	1.0	0.0	0.0	0.0
fawlty	664.0	81.0	0.0	1.0	0.0	1.0
fickleness	664.0	81.0	1.0	0.0	0.0	0.0
aboriginal	664.0	81.0	1.0	1.0	0.0	1.0
hart	664.0	81.0	1.0	0.0	0.0	0.0
werewolves	664.0	81.0	1.0	0.0	0.0	0.0
not|rest	664.0	81.0	3.0	0.0	1.0	0.0
not|lousy	664.0	81.0	1.0	0.0	0.0	0.0
motive	664.0	81.0	2.0	2.0	0.0	1.0
provider	664.0	81.0	2.0	0.0	1.0	0.0
not|destroy	664.0	81.0	2.0	0.0	1.0	0.0
root	664.0	81.0	2.0	0.0	1.0	0.0
patrick	664.0	81.0	3.0	0.0	1.0	0.0
hard	664.0	81.0	27.0	7.0	0.0	1.0
hare	664.0	81.0	1.0	0.0	0.0	0.0
uncovicing	664.0	81.0	1.0	0.0	0.0	0.0
caliber	664.0	81.0	1.0	0.0	0.0	0.0
multiple	664.0	81.0	1.0	0.0	0.0	0.0
dolby	664.0	81.0	2.0	0.0	1.0	0.0
room	664.0	81.0	9.0	1.0	0.0	0.0
better	664.0	81.0	83.0	4.0	1.0	0.0
haggard	664.0	81.0	1.0	0.0	0.0	0.0
poignant	664.0	81.0	3.0	0.0	1.0	0.0
subliminally	664.0	81.0	1.0	0.0	0.0	0.0
goon	664.0	81.0	1.0	0.0	0.0	0.0
permit	664.0	81.0	1.0	0.0	0.0	0.0
suitable	664.0	81.0	1.0	0.0	0.0	0.0
creepy	664.0	81.0	5.0	0.0	1.0	0.0
illustrator	664.0	81.0	1.0	0.0	0.0	0.0
bloodthirsty	664.0	81.0	1.0	0.0	0.0	0.0
romance	664.0	81.0	4.0	0.0	1.0	0.0
storytelling	664.0	81.0	4.0	1.0	0.0	1.0
pelicula	664.0	81.0	2.0	0.0	1.0	0.0
not|rely	664.0	81.0	3.0	0.0	1.0	0.0
artistry	664.0	81.0	1.0	0.0	0.0	0.0
immortal	664.0	81.0	1.0	0.0	0.0	0.0
nitpick	664.0	81.0	1.0	0.0	0.0	0.0
childishness	664.0	81.0	1.0	0.0	0.0	0.0
not|brilliant	664.0	81.0	1.0	1.0	0.0	1.0
not|greatest	664.0	81.0	1.0	0.0	0.0	0.0
not|shot	664.0	81.0	1.0	0.0	0.0	0.0
not|gene	664.0	81.0	2.0	0.0	1.0	0.0
not|show	664.0	81.0	20.0	3.0	0.0	0.0
flop	664.0	81.0	1.0	0.0	0.0	0.0
pokaboreme	664.0	81.0	1.0	0.0	0.0	0.0
hate	664.0	81.0	12.0	4.0	0.0	1.0
flow	664.0	81.0	4.0	0.0	1.0	0.0
promotional	664.0	81.0	4.0	0.0	1.0	0.0
order	664.0	81.0	44.0	5.0	0.0	0.0
timid	664.0	81.0	1.0	0.0	0.0	0.0
resonance	664.0	81.0	2.0	0.0	1.0	0.0
joice	664.0	81.0	1.0	0.0	0.0	0.0
illustrated	664.0	81.0	0.0	1.0	0.0	1.0
ensue	664.0	81.0	4.0	0.0	1.0	0.0
feautr	664.0	81.0	1.0	0.0	0.0	0.0
pipper	664.0	81.0	1.0	0.0	0.0	0.0
coach	664.0	81.0	1.0	0.0	0.0	0.0
homage	664.0	81.0	2.0	0.0	1.0	0.0
hectoring	664.0	81.0	0.0	1.0	0.0	1.0
woman	664.0	81.0	21.0	4.0	0.0	0.0
save	664.0	81.0	22.0	1.0	1.0	0.0
